3512 shield_destroyed -- 0 
4500 alien_destroyed 1 1 
7671 alien_destroyed 1 2 
7853 alien_destroyed 1 3 
8503 alien_destroyed 1 4 
8737 alien_destroyed 1 5 
9204 bomb_spawned -- 5 
9490 alien_destroyed 1 6 
9724 alien_destroyed 1 7 
10348 alien_destroyed 1 8 
10556 alien_destroyed 1 9 
10737 bomb_spawned -- 9 
11358 alien_destroyed 1 10 
12710 bomb_spawned -- 10 
13514 bomb_spawned -- 10 
14087 alien_destroyed 1 11 
14321 alien_destroyed 1 12 
14970 alien_destroyed 1 13 
15179 alien_destroyed 1 14 
15881 alien_destroyed 1 15 
16141 alien_destroyed 1 16 
16869 alien_destroyed 1 17 
17155 alien_destroyed 1 18 
17598 bomb_spawned -- 18 
17883 alien_destroyed 1 19 
18144 alien_destroyed 1 20 
18169 boss_spawned -- 20 
18767 bomb_spawned -- 20 
19105 bomb_spawned -- 20 
19340 alien_destroyed 1 21 
19704 bomb_spawned -- 21 
20588 bomb_spawned -- 21 
21342 bomb_spawned -- 21 
21498 bomb_spawned -- 21 
24229 bomb_spawned -- 21 
24281 shield_destroyed -- 21 
25088 alien_destroyed 1 22 
25348 bomb_spawned -- 22 
25608 bomb_spawned -- 22 
26128 bomb_spawned -- 22 
26337 bossright_destroyed 3 25 
27636 alien_destroyed 1 26 
27974 alien_destroyed 1 27 
28597 alien_destroyed 1 28 
28649 bomb_spawned -- 28 
29272 bomb_spawned -- 28 
29480 alien_destroyed 1 29 
29896 bomb_spawned -- 29 
29896 alien_destroyed 1 30 
30052 bomb_spawned -- 30 
30338 bomb_spawned -- 30 
30520 alien_destroyed 1 31 
30884 alien_destroyed 1 32 
30988 bomb_spawned -- 32 
31352 bomb_spawned -- 32 
31482 alien_destroyed 1 33 
31716 alien_destroyed 1 34 
31820 bomb_spawned -- 34 
32444 bomb_spawned -- 34 
32704 alien_destroyed 1 35 
34418 alien_destroyed 1 36 
34600 alien_destroyed 1 37 
35277 bomb_spawned -- 37 
35303 alien_destroyed 1 38 
35486 alien_destroyed 1 39 
35615 bomb_spawned -- 39 
36551 alien_destroyed 1 40 
36577 boss_spawned -- 40 
37748 alien_destroyed 1 41 
37826 bomb_spawned -- 41 
38477 bomb_spawned -- 41 
40376 bomb_spawned -- 41 
41078 bomb_spawned -- 41 
41624 bomb_spawned -- 41 
41911 shield_destroyed -- 41 
42613 alien_destroyed 1 42 
43341 bossleft_destroyed 5 47 
44278 bomb_spawned -- 47 
44330 bomb_spawned -- 47 
45396 bomb_spawned -- 47 
45708 alien_destroyed 1 48 
46590 alien_destroyed 1 49 
47085 bomb_spawned -- 49 
47345 alien_destroyed 1 50 
47709 alien_destroyed 1 51 
48307 alien_destroyed 1 52 
48749 alien_destroyed 1 53 
48802 bomb_spawned -- 53 
49166 alien_destroyed 1 54 
49608 alien_destroyed 1 55 
49894 player_destroyed -- 55 
